order_line_id,order_id,product_id,quantity,unit_price
700001,90001,P100,2,49.99
700002,90001,P205,1,129.00
700003,90002,P100,1,49.99
700004,90003,P310,3,19.95
700005,90003,P205,1,129.00
700006,90004,P450,1,299.00
700007,90005,P100,4,49.99
700008,90005,P310,2,19.95
700009,90006,P205,1,129.00
700010,90008,P100,1,49.99
700011,90008,P450,1,299.00
700012,90009,P310,5,19.95
700013,90010,P205,2,129.00
700014,90012,P100,3,49.99
700015,90012,P450,1,299.00
700016,90013,P310,1,19.95
700017,90014,P205,1,129.00
700018,90014,P100,2,49.99
700019,90015,P450,2,299.00
700020,90015,P310,4,19.95
