order_id,customer_id,order_date,order_status,order_total,discount_code
5001,1001,2024-02-01,C,120.00,
5002,1002,2024-02-03,C,89.50,SPRING10
5003,1003,2024-02-15,R,45.00,
5004,1001,2024-02-20,C,210.75,
5005,1004,2024-03-01,P,60.00,
5006,1005,2024-03-05,C,175.25,SPRING10
5007,1006,2024-03-18,C,99.99,
5008,1003,2024-03-25,X,0.00,
5009,1007,2024-04-02,C,340.00,VIP20
5010,1008,2024-04-10,R,55.50,
5011,1009,2024-04-28,C,410.20,VIP20
5012,1010,2024-05-06,P,72.00,
5013,1002,2024-05-12,C,133.33,
5014,1006,2024-05-20,C,88.88,SPRING10
